2023-05-27 17:38:10.648 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2023-05-27 17:38:10.655 [main] INFO  c.g.y.a.MybatisPlusJoinAutoConfiguration - MPJSqlInjector init
2023-05-27 17:38:11.451 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2023-05-27 17:38:11.465 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2023-05-27 17:38:11.472 [main] INFO  com.example.graph.GraphApplication - Started GraphApplication in 1.824 seconds (JVM running for 2.42)
2023-05-27 17:38:15.434 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-05-27 17:38:15.434 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2023-05-27 17:38:15.435 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2023-05-27 17:39:13.742 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.graph.GraphApplicationTests], using SpringBootContextLoader
2023-05-27 17:39:13.746 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.graph.GraphApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-05-27 17:39:13.746 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.graph.GraphApplicationTests]: GraphApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-05-27 17:39:13.819 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.graph.GraphApplication for test class com.example.graph.GraphApplicationTests
